cylinders;displacement;horsepower;weight;acceleration;model_year;origin;mpg
8.00;318000.00;150000.00;3777000.00;12500.00;73.00;1.00;15000.00
8.00;429000.00;198000.00;4952000.00;11500.00;73.00;1.00;12000.00
8.00;400000.00;150000.00;4464000.00;12000.00;73.00;1.00;13000.00
8.00;351000.00;158000.00;4363000.00;13000.00;73.00;1.00;13000.00
8.00;318000.00;150000.00;4237000.00;14500.00;73.00;1.00;14000.00
8.00;440000.00;215000.00;4735000.00;11000.00;73.00;1.00;13000.00
8.00;455000.00;225000.00;4951000.00;11000.00;73.00;1.00;12000.00
8.00;360000.00;175000.00;3821000.00;11000.00;73.00;1.00;13000.00
6.00;225000.00;105000.00;3121000.00;16500.00;73.00;1.00;18000.00
6.00;250000.00;100000.00;3278000.00;18000.00;73.00;1.00;16000.00
6.00;232000.00;100000.00;2945000.00;16000.00;73.00;1.00;18000.00
6.00;250000.00;88000.00;3021000.00;16500.00;73.00;1.00;18000.00
6.00;198000.00;95000.00;2904000.00;16000.00;73.00;1.00;23000.00
4.00;97000.00;46000.00;1950000.00;21000.00;73.00;2.00;26000.00
8.00;400000.00;150000.00;4997000.00;14000.00;73.00;1.00;11000.00
8.00;400000.00;167000.00;4906000.00;12500.00;73.00;1.00;12000.00
8.00;360000.00;170000.00;4654000.00;13000.00;73.00;1.00;13000.00
8.00;350000.00;180000.00;4499000.00;12500.00;73.00;1.00;12000.00
6.00;232000.00;100000.00;2789000.00;15000.00;73.00;1.00;18000.00
4.00;97000.00;88000.00;2279000.00;19000.00;73.00;3.00;20000.00
4.00;140000.00;72000.00;2401000.00;19500.00;73.00;1.00;21000.00
4.00;108000.00;94000.00;2379000.00;16500.00;73.00;3.00;22000.00
3.00;70000.00;90000.00;2124000.00;13500.00;73.00;3.00;18000.00
4.00;122000.00;85000.00;2310000.00;18500.00;73.00;1.00;19000.00
6.00;155000.00;107000.00;2472000.00;14000.00;73.00;1.00;21000.00
4.00;98000.00;90000.00;2265000.00;15500.00;73.00;2.00;26000.00
8.00;350000.00;145000.00;4082000.00;13000.00;73.00;1.00;15000.00
8.00;400000.00;230000.00;4278000.00;9500.00;73.00;1.00;16000.00
4.00;68000.00;49000.00;1867000.00;19500.00;73.00;2.00;29000.00
4.00;116000.00;75000.00;2158000.00;15500.00;73.00;2.00;24000.00
4.00;114000.00;91000.00;2582000.00;14000.00;73.00;2.00;20000.00
4.00;121000.00;112000.00;2868000.00;15500.00;73.00;2.00;19000.00
8.00;318000.00;150000.00;3399000.00;11000.00;73.00;1.00;15000.00
4.00;121000.00;110000.00;2660000.00;14000.00;73.00;2.00;24000.00
6.00;156000.00;122000.00;2807000.00;13500.00;73.00;3.00;20000.00
8.00;350000.00;180000.00;3664000.00;11000.00;73.00;1.00;11000.00
6.00;198000.00;95000.00;3102000.00;16500.00;74.00;1.00;20000.00
6.00;232000.00;100000.00;2901000.00;16000.00;74.00;1.00;19000.00
6.00;250000.00;100000.00;3336000.00;17000.00;74.00;1.00;15000.00
4.00;79000.00;67000.00;1950000.00;19000.00;74.00;3.00;31000.00
4.00;122000.00;80000.00;2451000.00;16500.00;74.00;1.00;26000.00
4.00;71000.00;65000.00;1836000.00;21000.00;74.00;3.00;32000.00
4.00;140000.00;75000.00;2542000.00;17000.00;74.00;1.00;25000.00
6.00;250000.00;100000.00;3781000.00;17000.00;74.00;1.00;16000.00
6.00;258000.00;110000.00;3632000.00;18000.00;74.00;1.00;16000.00
6.00;225000.00;105000.00;3613000.00;16500.00;74.00;1.00;18000.00
8.00;302000.00;140000.00;4141000.00;14000.00;74.00;1.00;16000.00
8.00;350000.00;150000.00;4699000.00;14500.00;74.00;1.00;13000.00
8.00;318000.00;150000.00;4457000.00;13500.00;74.00;1.00;14000.00
8.00;302000.00;140000.00;4638000.00;16000.00;74.00;1.00;14000.00
8.00;304000.00;150000.00;4257000.00;15500.00;74.00;1.00;14000.00
4.00;98000.00;83000.00;2219000.00;16500.00;74.00;2.00;29000.00
4.00;79000.00;67000.00;1963000.00;15500.00;74.00;2.00;26000.00
4.00;97000.00;78000.00;2300000.00;14500.00;74.00;2.00;26000.00
4.00;76000.00;52000.00;1649000.00;16500.00;74.00;3.00;31000.00
4.00;83000.00;61000.00;2003000.00;19000.00;74.00;3.00;32000.00
4.00;90000.00;75000.00;2125000.00;14500.00;74.00;1.00;28000.00
4.00;90000.00;75000.00;2108000.00;15500.00;74.00;2.00;24000.00
4.00;116000.00;75000.00;2246000.00;14000.00;74.00;2.00;26000.00
4.00;120000.00;97000.00;2489000.00;15000.00;74.00;3.00;24000.00
4.00;108000.00;93000.00;2391000.00;15500.00;74.00;3.00;26000.00
4.00;79000.00;67000.00;2000000.00;16000.00;74.00;2.00;31000.00
6.00;225000.00;95000.00;3264000.00;16000.00;75.00;1.00;19000.00
6.00;250000.00;105000.00;3459000.00;16000.00;75.00;1.00;18000.00
6.00;250000.00;72000.00;3432000.00;21000.00;75.00;1.00;15000.00
6.00;250000.00;72000.00;3158000.00;19500.00;75.00;1.00;15000.00
8.00;400000.00;170000.00;4668000.00;11500.00;75.00;1.00;16000.00
8.00;350000.00;145000.00;4440000.00;14000.00;75.00;1.00;15000.00
8.00;318000.00;150000.00;4498000.00;14500.00;75.00;1.00;16000.00
8.00;351000.00;148000.00;4657000.00;13500.00;75.00;1.00;14000.00
6.00;231000.00;110000.00;3907000.00;21000.00;75.00;1.00;17000.00
6.00;250000.00;105000.00;3897000.00;18500.00;75.00;1.00;16000.00
6.00;258000.00;110000.00;3730000.00;19000.00;75.00;1.00;15000.00
6.00;225000.00;95000.00;3785000.00;19000.00;75.00;1.00;18000.00
6.00;231000.00;110000.00;3039000.00;15000.00;75.00;1.00;21000.00
8.00;262000.00;110000.00;3221000.00;13500.00;75.00;1.00;20000.00
8.00;302000.00;129000.00;3169000.00;12000.00;75.00;1.00;13000.00
4.00;97000.00;75000.00;2171000.00;16000.00;75.00;3.00;29000.00
4.00;140000.00;83000.00;2639000.00;17000.00;75.00;1.00;23000.00
6.00;232000.00;100000.00;2914000.00;16000.00;75.00;1.00;20000.00
4.00;140000.00;78000.00;2592000.00;18500.00;75.00;1.00;23000.00
4.00;134000.00;96000.00;2702000.00;13500.00;75.00;3.00;24000.00
4.00;90000.00;71000.00;2223000.00;16500.00;75.00;2.00;25000.00
4.00;119000.00;97000.00;2545000.00;17000.00;75.00;3.00;24000.00
6.00;171000.00;97000.00;2984000.00;14500.00;75.00;1.00;18000.00
4.00;90000.00;70000.00;1937000.00;14000.00;75.00;2.00;29000.00
6.00;232000.00;90000.00;3211000.00;17000.00;75.00;1.00;19000.00
4.00;115000.00;95000.00;2694000.00;15000.00;75.00;2.00;23000.00
4.00;120000.00;88000.00;2957000.00;17000.00;75.00;2.00;23000.00
4.00;121000.00;98000.00;2945000.00;14500.00;75.00;2.00;22000.00
4.00;121000.00;115000.00;2671000.00;13500.00;75.00;2.00;25000.00
4.00;91000.00;53000.00;1795000.00;17500.00;75.00;3.00;33000.00
4.00;107000.00;86000.00;2464000.00;15500.00;76.00;2.00;28000.00
4.00;116000.00;81000.00;2220000.00;16900.00;76.00;2.00;25000.00
4.00;140000.00;92000.00;2572000.00;14900.00;76.00;1.00;25000.00
4.00;98000.00;79000.00;2255000.00;17700.00;76.00;1.00;26000.00
4.00;101000.00;83000.00;2202000.00;15300.00;76.00;2.00;27000.00
8.00;305000.00;140000.00;4215000.00;13000.00;76.00;1.00;17500.00
8.00;318000.00;150000.00;4190000.00;13000.00;76.00;1.00;16000.00
8.00;304000.00;120000.00;3962000.00;13900.00;76.00;1.00;15500.00
8.00;351000.00;152000.00;4215000.00;12800.00;76.00;1.00;14500.00
6.00;225000.00;100000.00;3233000.00;15400.00;76.00;1.00;22000.00
6.00;250000.00;105000.00;3353000.00;14500.00;76.00;1.00;22000.00
6.00;200000.00;81000.00;3012000.00;17600.00;76.00;1.00;24000.00
6.00;232000.00;90000.00;3085000.00;17600.00;76.00;1.00;22500.00
4.00;85000.00;52000.00;2035000.00;22200.00;76.00;1.00;29000.00
4.00;98000.00;60000.00;2164000.00;22100.00;76.00;1.00;24500.00
4.00;90000.00;70000.00;1937000.00;14200.00;76.00;2.00;29000.00
4.00;91000.00;53000.00;1795000.00;17400.00;76.00;3.00;33000.00
6.00;225000.00;100000.00;3651000.00;17700.00;76.00;1.00;20000.00
6.00;250000.00;78000.00;3574000.00;21000.00;76.00;1.00;18000.00
6.00;250000.00;110000.00;3645000.00;16200.00;76.00;1.00;18500.00
6.00;258000.00;95000.00;3193000.00;17800.00;76.00;1.00;17500.00
4.00;97000.00;71000.00;1825000.00;12200.00;76.00;2.00;29500.00
4.00;85000.00;70000.00;1990000.00;17000.00;76.00;3.00;32000.00
4.00;97000.00;75000.00;2155000.00;16400.00;76.00;3.00;28000.00
4.00;140000.00;72000.00;2565000.00;13600.00;76.00;1.00;26500.00
4.00;130000.00;102000.00;3150000.00;15700.00;76.00;2.00;20000.00
8.00;318000.00;150000.00;3940000.00;13200.00;76.00;1.00;13000.00
4.00;120000.00;88000.00;3270000.00;21900.00;76.00;2.00;19000.00
6.00;156000.00;108000.00;2930000.00;15500.00;76.00;3.00;19000.00
6.00;168000.00;120000.00;3820000.00;16700.00;76.00;2.00;16500.00
8.00;350000.00;180000.00;4380000.00;12100.00;76.00;1.00;16500.00
8.00;350000.00;145000.00;4055000.00;12000.00;76.00;1.00;13000.00
8.00;302000.00;130000.00;3870000.00;15000.00;76.00;1.00;13000.00
8.00;318000.00;150000.00;3755000.00;14000.00;76.00;1.00;13000.00
4.00;98000.00;68000.00;2045000.00;18500.00;77.00;3.00;31500.00
4.00;111000.00;80000.00;2155000.00;14800.00;77.00;1.00;30000.00
4.00;79000.00;58000.00;1825000.00;18600.00;77.00;2.00;36000.00
4.00;122000.00;96000.00;2300000.00;15500.00;77.00;1.00;25500.00
4.00;85000.00;70000.00;1945000.00;16800.00;77.00;3.00;33500.00
8.00;305000.00;145000.00;3880000.00;12500.00;77.00;1.00;17500.00
8.00;260000.00;110000.00;4060000.00;19000.00;77.00;1.00;17000.00
8.00;318000.00;145000.00;4140000.00;13700.00;77.00;1.00;15500.00
8.00;302000.00;130000.00;4295000.00;14900.00;77.00;1.00;15000.00
6.00;250000.00;110000.00;3520000.00;16400.00;77.00;1.00;17500.00
6.00;231000.00;105000.00;3425000.00;16900.00;77.00;1.00;20500.00
6.00;225000.00;100000.00;3630000.00;17700.00;77.00;1.00;19000.00
6.00;250000.00;98000.00;3525000.00;19000.00;77.00;1.00;18500.00
8.00;400000.00;180000.00;4220000.00;11100.00;77.00;1.00;16000.00
8.00;350000.00;170000.00;4165000.00;11400.00;77.00;1.00;15500.00
8.00;400000.00;190000.00;4325000.00;12200.00;77.00;1.00;15500.00
8.00;351000.00;149000.00;4335000.00;14500.00;77.00;1.00;16000.00
4.00;97000.00;78000.00;1940000.00;14500.00;77.00;2.00;29000.00
4.00;151000.00;88000.00;2740000.00;16000.00;77.00;1.00;24500.00
4.00;97000.00;75000.00;2265000.00;18200.00;77.00;3.00;26000.00
4.00;140000.00;89000.00;2755000.00;15800.00;77.00;1.00;25500.00
4.00;98000.00;63000.00;2051000.00;17000.00;77.00;1.00;30500.00
4.00;98000.00;83000.00;2075000.00;15900.00;77.00;1.00;33500.00
4.00;97000.00;67000.00;1985000.00;16400.00;77.00;3.00;30000.00
4.00;97000.00;78000.00;2190000.00;14100.00;77.00;2.00;30500.00
6.00;146000.00;97000.00;2815000.00;14500.00;77.00;3.00;22000.00
4.00;121000.00;110000.00;2600000.00;12800.00;77.00;2.00;21500.00
3.00;80000.00;110000.00;2720000.00;13500.00;77.00;3.00;21500.00
4.00;90000.00;48000.00;1985000.00;21500.00;78.00;2.00;43100.00
4.00;98000.00;66000.00;1800000.00;14400.00;78.00;1.00;36100.00
4.00;78000.00;52000.00;1985000.00;19400.00;78.00;3.00;32800.00
4.00;85000.00;70000.00;2070000.00;18600.00;78.00;3.00;39400.00
4.00;91000.00;60000.00;1800000.00;16400.00;78.00;3.00;36100.00
8.00;260000.00;110000.00;3365000.00;15500.00;78.00;1.00;19900.00
8.00;318000.00;140000.00;3735000.00;13200.00;78.00;1.00;19400.00
8.00;302000.00;139000.00;3570000.00;12800.00;78.00;1.00;20200.00
6.00;231000.00;105000.00;3535000.00;19200.00;78.00;1.00;19200.00
6.00;200000.00;95000.00;3155000.00;18200.00;78.00;1.00;20500.00
6.00;200000.00;85000.00;2965000.00;15800.00;78.00;1.00;20200.00
4.00;140000.00;88000.00;2720000.00;15400.00;78.00;1.00;25100.00
6.00;225000.00;100000.00;3430000.00;17200.00;78.00;1.00;20500.00
6.00;232000.00;90000.00;3210000.00;17200.00;78.00;1.00;19400.00
6.00;231000.00;105000.00;3380000.00;15800.00;78.00;1.00;20600.00
6.00;200000.00;85000.00;3070000.00;16700.00;78.00;1.00;20800.00
6.00;225000.00;110000.00;3620000.00;18700.00;78.00;1.00;18600.00
6.00;258000.00;120000.00;3410000.00;15100.00;78.00;1.00;18100.00
8.00;305000.00;145000.00;3425000.00;13200.00;78.00;1.00;19200.00
6.00;231000.00;165000.00;3445000.00;13400.00;78.00;1.00;17700.00
8.00;302000.00;139000.00;3205000.00;11200.00;78.00;1.00;18100.00
8.00;318000.00;140000.00;4080000.00;13700.00;78.00;1.00;17500.00
4.00;98000.00;68000.00;2155000.00;16500.00;78.00;1.00;30000.00
4.00;134000.00;95000.00;2560000.00;14200.00;78.00;3.00;27500.00
4.00;119000.00;97000.00;2300000.00;14700.00;78.00;3.00;27200.00
4.00;105000.00;75000.00;2230000.00;14500.00;78.00;1.00;30900.00
4.00;134000.00;95000.00;2515000.00;14800.00;78.00;3.00;21100.00
4.00;156000.00;105000.00;2745000.00;16700.00;78.00;1.00;23200.00
4.00;151000.00;85000.00;2855000.00;17600.00;78.00;1.00;23800.00
4.00;119000.00;97000.00;2405000.00;14900.00;78.00;3.00;23900.00
5.00;131000.00;103000.00;2830000.00;15900.00;78.00;2.00;20300.00
6.00;163000.00;125000.00;3140000.00;13600.00;78.00;2.00;17000.00
4.00;121000.00;115000.00;2795000.00;15700.00;78.00;2.00;21600.00
6.00;163000.00;133000.00;3410000.00;15800.00;78.00;2.00;16200.00
4.00;89000.00;71000.00;1990000.00;14900.00;78.00;2.00;31500.00
4.00;98000.00;68000.00;2135000.00;16600.00;78.00;3.00;29500.00
6.00;231000.00;115000.00;3245000.00;15400.00;79.00;1.00;21500.00
6.00;200000.00;85000.00;2990000.00;18200.00;79.00;1.00;19800.00
4.00;140000.00;88000.00;2890000.00;17300.00;79.00;1.00;22300.00
6.00;232000.00;90000.00;3265000.00;18200.00;79.00;1.00;20200.00
6.00;225000.00;110000.00;3360000.00;16600.00;79.00;1.00;20600.00
8.00;305000.00;130000.00;3840000.00;15400.00;79.00;1.00;17000.00
8.00;302000.00;129000.00;3725000.00;13400.00;79.00;1.00;17600.00
8.00;351000.00;138000.00;3955000.00;13200.00;79.00;1.00;16500.00
8.00;318000.00;135000.00;3830000.00;15200.00;79.00;1.00;18200.00
8.00;350000.00;155000.00;4360000.00;14900.00;79.00;1.00;16900.00
8.00;351000.00;142000.00;4054000.00;14300.00;79.00;1.00;15500.00
8.00;267000.00;125000.00;3605000.00;15000.00;79.00;1.00;19200.00
8.00;360000.00;150000.00;3940000.00;13000.00;79.00;1.00;18500.00
4.00;89000.00;71000.00;1925000.00;14000.00;79.00;2.00;31900.00
4.00;86000.00;65000.00;1975000.00;15200.00;79.00;3.00;34100.00
4.00;98000.00;80000.00;1915000.00;14400.00;79.00;1.00;35700.00
4.00;121000.00;80000.00;2670000.00;15000.00;79.00;1.00;27400.00
5.00;183000.00;77000.00;3530000.00;20100.00;79.00;2.00;25400.00
8.00;350000.00;125000.00;3900000.00;17400.00;79.00;1.00;23000.00
4.00;141000.00;71000.00;3190000.00;24800.00;79.00;2.00;27200.00
8.00;260000.00;90000.00;3420000.00;22200.00;79.00;1.00;23900.00
4.00;105000.00;70000.00;2200000.00;13200.00;79.00;1.00;34200.00
4.00;105000.00;70000.00;2150000.00;14900.00;79.00;1.00;34500.00
4.00;85000.00;65000.00;2020000.00;19200.00;79.00;3.00;31800.00
4.00;91000.00;69000.00;2130000.00;14700.00;79.00;2.00;37300.00
4.00;151000.00;90000.00;2670000.00;16000.00;79.00;1.00;28400.00
6.00;173000.00;115000.00;2595000.00;11300.00;79.00;1.00;28800.00
6.00;173000.00;115000.00;2700000.00;12900.00;79.00;1.00;26800.00
4.00;151000.00;90000.00;2556000.00;13200.00;79.00;1.00;33500.00
4.00;98000.00;76000.00;2144000.00;14700.00;80.00;2.00;41500.00
4.00;89000.00;60000.00;1968000.00;18800.00;80.00;3.00;38100.00
4.00;98000.00;70000.00;2120000.00;15500.00;80.00;1.00;32100.00
4.00;86000.00;65000.00;2019000.00;16400.00;80.00;3.00;37200.00
4.00;151000.00;90000.00;2678000.00;16500.00;80.00;1.00;28000.00
4.00;140000.00;88000.00;2870000.00;18100.00;80.00;1.00;26400.00
4.00;151000.00;90000.00;3003000.00;20100.00;80.00;1.00;24300.00
6.00;225000.00;90000.00;3381000.00;18700.00;80.00;1.00;19100.00
4.00;97000.00;78000.00;2188000.00;15800.00;80.00;2.00;34300.00
4.00;134000.00;90000.00;2711000.00;15500.00;80.00;3.00;29800.00
4.00;120000.00;75000.00;2542000.00;17500.00;80.00;3.00;31300.00
4.00;119000.00;92000.00;2434000.00;15000.00;80.00;3.00;37000.00
4.00;108000.00;75000.00;2265000.00;15200.00;80.00;3.00;32200.00
4.00;86000.00;65000.00;2110000.00;17900.00;80.00;3.00;46600.00
4.00;156000.00;105000.00;2800000.00;14400.00;80.00;1.00;27900.00
4.00;85000.00;65000.00;2110000.00;19200.00;80.00;3.00;40800.00
4.00;90000.00;48000.00;2085000.00;21700.00;80.00;2.00;44300.00
4.00;90000.00;48000.00;2335000.00;23700.00;80.00;2.00;43400.00
5.00;121000.00;67000.00;2950000.00;19900.00;80.00;2.00;36400.00
4.00;146000.00;67000.00;3250000.00;21800.00;80.00;2.00;30000.00
4.00;91000.00;67000.00;1850000.00;13800.00;80.00;3.00;44600.00
4.00;97000.00;67000.00;2145000.00;18000.00;80.00;3.00;33800.00
4.00;89000.00;62000.00;1845000.00;15300.00;80.00;2.00;29800.00
6.00;168000.00;132000.00;2910000.00;11400.00;80.00;3.00;32700.00
3.00;70000.00;100000.00;2420000.00;12500.00;80.00;3.00;23700.00
4.00;122000.00;88000.00;2500000.00;15100.00;80.00;2.00;35000.00
4.00;107000.00;72000.00;2290000.00;17000.00;80.00;3.00;32400.00
4.00;135000.00;84000.00;2490000.00;15700.00;81.00;1.00;27200.00
4.00;151000.00;84000.00;2635000.00;16400.00;81.00;1.00;26600.00
4.00;156000.00;92000.00;2620000.00;14400.00;81.00;1.00;25800.00
6.00;173000.00;110000.00;2725000.00;12600.00;81.00;1.00;23500.00
4.00;135000.00;84000.00;2385000.00;12900.00;81.00;1.00;30000.00
4.00;79000.00;58000.00;1755000.00;16900.00;81.00;3.00;39100.00
4.00;86000.00;64000.00;1875000.00;16400.00;81.00;1.00;39000.00
4.00;81000.00;60000.00;1760000.00;16100.00;81.00;3.00;35100.00
4.00;97000.00;67000.00;2065000.00;17800.00;81.00;3.00;32300.00
4.00;85000.00;65000.00;1975000.00;19400.00;81.00;3.00;37000.00
4.00;89000.00;62000.00;2050000.00;17300.00;81.00;3.00;37700.00
4.00;91000.00;68000.00;1985000.00;16000.00;81.00;3.00;34100.00
4.00;105000.00;63000.00;2215000.00;14900.00;81.00;1.00;34700.00
4.00;98000.00;65000.00;2045000.00;16200.00;81.00;1.00;34400.00
4.00;98000.00;65000.00;2380000.00;20700.00;81.00;1.00;29900.00
4.00;105000.00;74000.00;2190000.00;14200.00;81.00;2.00;33000.00
4.00;107000.00;75000.00;2210000.00;14400.00;81.00;3.00;33700.00
4.00;108000.00;75000.00;2350000.00;16800.00;81.00;3.00;32400.00
4.00;119000.00;100000.00;2615000.00;14800.00;81.00;3.00;32900.00
4.00;120000.00;74000.00;2635000.00;18300.00;81.00;3.00;31600.00
4.00;141000.00;80000.00;3230000.00;20400.00;81.00;2.00;28100.00
6.00;145000.00;76000.00;3160000.00;19600.00;81.00;2.00;30700.00
6.00;168000.00;116000.00;2900000.00;12600.00;81.00;3.00;25400.00
6.00;146000.00;120000.00;2930000.00;13800.00;81.00;3.00;24200.00
6.00;231000.00;110000.00;3415000.00;15800.00;81.00;1.00;22400.00
8.00;350000.00;105000.00;3725000.00;19000.00;81.00;1.00;26600.00
6.00;200000.00;88000.00;3060000.00;17100.00;81.00;1.00;20200.00
6.00;225000.00;85000.00;3465000.00;16600.00;81.00;1.00;17600.00
4.00;112000.00;88000.00;2605000.00;19600.00;82.00;1.00;28000.00
4.00;112000.00;88000.00;2640000.00;18600.00;82.00;1.00;27000.00
4.00;112000.00;88000.00;2395000.00;18000.00;82.00;1.00;34000.00
4.00;112000.00;85000.00;2575000.00;16200.00;82.00;1.00;31000.00
